Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
Useful on arrival,Usefully located hotel in between city centre and airport. Restaurant stayed open reasonably late so I could eat after an evening arrival in Cyprus.,Restaurant was offering a rather narrow set of choices compared to what was listed on the menu. Room quite small.,7.0,Alexander,United Kingdom,Double Room,1 night,2022-04-01,Solo traveler,"Thank you for your comments; you choose a room without balcony in your reservation, these types of rooms are small, however we upgraded your reservation to a room with balcony but same size. 
As for the restaurant, you stayed in 8 April, we were still preparing the menu and the food for the summer season, actually all the food listed in the menu are now available.
Sorry for any inconvenience.",use locat hotel citi centr airport restaur stay open reason late could eat even arriv cypru,restaur offer rather narrow set choic compar list menu room quit small,neutral,-0.15,-0.225,4,2022
Pleasant,"Friendly Staff!
Very modern rooms","Bath room was cleaned rather superficially, so that medium nice with hair not being removed.",6.0,Eric,Germany,Double Room with Balcony,3 nights,2022-04-01,Solo traveler,,friendli staff modern room,bath room clean rather superfici medium nice hair remov,neutral,0.2,0.48333333333333334,4,2022
Good,"Break fast was PERFECT, the room was PERFECT. Some issues with internet and location, bit far from the center, but very quite Area around.",Cold floor in the room :-),7.0,Daria,Denmark,Double Room,1 night,2022-03-01,Solo traveler,,break fast perfect room perfect issu internet locat bit far center quit area around,cold floor room,neutral,0.44000000000000006,-0.6,3,2022
Everything we expected and everything we needed. Very happy.,Breakfast was very filling. It was located on the table in front of us (funny question).,Room was a little cold. The hotel hadn’t yet opened up for the season. It was a little hard to find.,7.0,Dave,United Kingdom,Two-Bedroom Suite,1 night,2022-03-01,Family,,breakfast fill locat tabl front u funni question,room littl cold hotel hadn’t yet open season littl hard find,neutral,0.0,-0.2972222222222222,3,2022
friendly staff,"clean room, friendly staff","off season, so no bar / restaurant/ pool, which was not clear on booking.",5.0,Rhiannon,United Kingdom,Double Room,1 night,2022-01-01,Solo traveler,"Thank you for your comments- the restaurant and bar are always open all year around.  But one of our kitchen staff was tested positive, therefore we closed for many days in order to sterilize then we open again. we are sorry for any inconvenience.",clean room friendli staff,season bar restaur pool clear book,neutral,0.3666666666666667,0.09999999999999999,1,2022
nice and clean but not friendly lady.,nice and very clean.,that they couldn’t wait for 15min as i had just fractured my ankle and need to change my bandage and the Lady of the house was literally standing next to the door with a cleaner to clean the room. so i left without changing my bandage and had to do it outside on the street.,6.0,Samira,United Kingdom,Double Room with Balcony,1 night,2021-11-01,Couple,,nice clean,couldn’t wait min fractur ankl need chang bandag ladi hous liter stand next door cleaner clean room left without chang bandag outsid street,neutral,0.48333333333333334,0.12222222222222223,11,2021
nice hotel for a short stay,Nice clean little hotel next to the airport,Breakfast was below average,7.0,Mariia,Poland,Standard Triple Room,1 night,2021-10-01,Family,,nice clean littl hotel next airport,breakfast averag,neutral,0.32222222222222224,0.0,10,2021
Pleasant,"Location very good, didn't have breakfast but the evening meal was poor as it isn't really a bar or a restaurant.",,6.0,Ian,Cyprus,Double Room with Balcony,1 night,2021-11-01,Solo traveler,,locat good didnt breakfast even meal poor isnt realli bar restaur,,neutral,0.14999999999999997,0.0,11,2021
Adequate and handy for airport,the staff were lovely,The bed and pillows were very uncomfortable and the telly was not working properly,7.0,Neil,United Kingdom,Double Room,1 night,2021-11-01,Solo traveler,,staff love,bed pillow uncomfort telli work properli,neutral,0.5,0.0,11,2021
Good for a short stay,"Clean room. Good location for makenzie beach. comfortable bed
Staff was excellent","Complimentary coffee/tea in our bedroom was not replenished after the first night. Only one coffee sachet for a double room. 
Whatever was used from the fridge was also not replenished.
There were no thin curtains to allow for some light to come through into the bedroom; and so you had to draw the thick curtains if you wanted privacy.",7.0,Eleni,United Kingdom,Double Room with Balcony,3 nights,2021-10-01,Couple,,clean room good locat makenzi beach comfort bed staff excel,complimentari coffeetea bedroom replenish first night one coffe sachet doubl room whatev use fridg also replenish thin curtain allow light come bedroom draw thick curtain want privaci,neutral,0.5333333333333333,-0.012499999999999997,10,2021
Good,Close to the airport,We booked a taxi at 04:30 in the morning to go to the airport. Very frustrating that the host didnt inform us that his taxi had a double Booking instead of ordening another for us.,7.0,Karlijn,Netherlands,Double Room with Balcony,1 night,2021-10-01,Couple,,close airport,book taxi morn go airport frustrat host didnt inform u taxi doubl book instead orden anoth u,neutral,0.0,0.0,10,2021
FRIENDLY STAFF,"Friendly and Helpful Staff.
 Room Cleanliness",,7.0,Egonab,Jordan,Double Room with Balcony,1 night,2021-09-01,Solo traveler,,friendli help staff room cleanli,,neutral,0.0,0.0,9,2021
Fair,Property is perfectly located close from the airport and close to the famous Makenzie Beach. Neat and modern hotel facility.,"Property feels cold without an warm inviting atmosphere, as it’s to minimalistic. Rooms are a nice size but is unfortunately situated on top of the outside bar area. Twin beds are provided and the pillows is not comfortable at all. The shower in the bathroom is open in-front which results in the whole floor being wet. Property have a great potential with some care.",5.0,Hanro,Cyprus,Double Room with Balcony,1 night,2021-09-01,Solo traveler,,properti perfectli locat close airport close famou makenzi beach neat modern hotel facil,properti feel cold without warm invit atmospher it’ minimalist room nice size unfortun situat top outsid bar area twin bed provid pillow comfort shower bathroom open infront result whole floor wet properti great potenti care,neutral,0.2,0.25,9,2021
One Night Stay,"Chose this hotel because of it’s proximity to airport. One nights stay straight from the flight before travelling onwards next morning to other areas. Easy to find (car hire) using Google maps. Friendly welcoming staff, easy check-in. The hotel itself is spotlessly clean, COVID prevention measures taken. Never ate there, cold beers available (& needed) from bar downstairs or mini-bar in room. Very quiet neighbourhood - not sure what’s nearby etc as up & away early next morning. Would certainly recommend for this type of trip & will probably use again next time.",Nothing to report.,7.0,Christopher,United Kingdom,Double Room with Balcony,1 night,2021-09-01,Solo traveler,,chose hotel it’ proxim airport one night stay straight flight travel onward next morn area easi find car hire use googl map friendli welcom staff easi checkin hotel spotlessli clean covid prevent measur taken never ate cold beer avail need bar downstair minibar room quiet neighbourhood sure what’ nearbi etc away earli next morn would certainli recommend type trip probabl use next time,noth report,neutral,0.058333333333333334,0.0,9,2021
"Everything was broken, beds not what we wanted",close to mackenzie beach,"Safe didn’t work, back door balcony in other bedroom wouldn’t lock, do not disturb sign didn’t work (electronic) 
asked for double bed and got two single beds next to eachother 
very noisy guests. Waited 10 minutes for someone to come greet us for check in, no one on desk 
Guy on desk told us we had not paid but we did 
then he took a picture of my passport which no hotel does at all which was very strange ?????",1.0,Alexandra,United Kingdom,Family Suite with Balcony,2 nights,2021-09-01,Couple,"we are sorry for your bad experience; actually 90% of the bed configuration at our hotel is double bed but you booked last-minute booking and we are fully booked therefore there were no doublebed available; you stayed 2 days, we would move you to another room the second day if you would ask. as for the safebox, the balcony door, we would appreciate that you told us at the reception in order to solve them immediately as the safebox needs batteries and the balcony door needs little regulation; these things could be solved immediately if you would tell us.
Again, we are sorry for your bad experience at our hotel.",close mackenzi beach,safe didn’t work back door balconi bedroom wouldn’t lock disturb sign didn’t work electron ask doubl bed got two singl bed next eachoth noisi guest wait minut someon come greet u check one desk guy desk told u paid took pictur passport hotel strang,negative,0.0,0.16666666666666666,9,2021
